V,C
2.5493025e+000,1.0000000e+000
1.8474957e+000,1.0000000e+000
2.1501557e+000,1.0000000e+000
2.3746311e+000,1.0000000e+000
1.5424579e+000,1.0000000e+000
1.9739042e+000,1.0000000e+000
1.8867639e+000,1.0000000e+000
2.3246809e+000,1.0000000e+000
2.4919711e+000,1.0000000e+000
2.2748111e+000,1.0000000e+000
1.7797506e+000,1.0000000e+000
1.7437455e+000,1.0000000e+000
1.2718867e+000,1.0000000e+000
2.0037521e+000,1.0000000e+000
2.8940945e+000,1.0000000e+000
2.0935274e+000,1.0000000e+000
2.0129895e+000,1.0000000e+000
1.5877104e+000,1.0000000e+000
2.2097806e+000,1.0000000e+000
1.9609595e+000,1.0000000e+000
4.2082362e+000,0.0000000e+000
5.6834167e+000,0.0000000e+000
4.2556886e+000,0.0000000e+000
5.1296513e+000,0.0000000e+000
5.3864894e+000,0.0000000e+000
4.5975455e+000,0.0000000e+000
5.5177101e+000,0.0000000e+000
5.4211538e+000,0.0000000e+000
4.2620661e+000,0.0000000e+000
4.7340086e+000,0.0000000e+000
5.0469403e+000,0.0000000e+000
5.3733509e+000,0.0000000e+000
4.1606475e+000,0.0000000e+000
4.4845986e+000,0.0000000e+000
5.1101185e+000,0.0000000e+000
5.2602125e+000,0.0000000e+000
5.6969615e+000,0.0000000e+000
5.4712884e+000,0.0000000e+000
5.0373411e+000,0.0000000e+000
4.3963587e+000,0.0000000e+000
2.2264294e+000,1.0000000e+000
1.3957472e+000,1.0000000e+000
1.4503037e+000,1.0000000e+000
1.3071948e+000,1.0000000e+000
1.4611502e+000,1.0000000e+000
2.4442452e+000,1.0000000e+000
1.6048851e+000,1.0000000e+000
2.0275595e+000,1.0000000e+000
2.5379102e+000,1.0000000e+000
1.1093012e+000,1.0000000e+000
1.4328975e+000,1.0000000e+000
2.2021406e+000,1.0000000e+000
2.5002854e+000,1.0000000e+000
2.1914232e+000,1.0000000e+000
2.1216386e+000,1.0000000e+000
2.0751345e+000,1.0000000e+000
1.7728950e+000,1.0000000e+000
2.2417593e+000,1.0000000e+000
2.0864224e+000,1.0000000e+000
1.4500683e+000,1.0000000e+000
5.0500758e+000,0.0000000e+000
5.1714619e+000,0.0000000e+000
5.5217232e+000,0.0000000e+000
5.3055895e+000,0.0000000e+000
4.5832676e+000,0.0000000e+000
5.0145115e+000,0.0000000e+000
3.3946688e+000,0.0000000e+000
5.6900929e+000,0.0000000e+000
4.6938376e+000,0.0000000e+000
4.6586182e+000,0.0000000e+000
5.0748844e+000,0.0000000e+000
4.6434275e+000,0.0000000e+000
4.4487817e+000,0.0000000e+000
4.4742676e+000,0.0000000e+000
4.7436141e+000,0.0000000e+000
4.6696199e+000,0.0000000e+000
5.0610120e+000,0.0000000e+000
4.5697072e+000,0.0000000e+000
6.1361912e+000,0.0000000e+000
4.4242928e+000,0.0000000e+000
